Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y,Sport_en,district_code,Count,Meta_Cat,Sub_Cat,All,Sport_count,sport_count_in_district
Aangepast Sporten,Reade,www.reade.nl,Jan van Breemen instituut,Admiraal Helfrichstraat 1,1056AA,Amsterdam,Nieuw-West,ja,,,4.84440832,52.37074001,Adapted Sports,F,1,physical sports,others,All Sports,6,1
Aangepast Sporten,Friendship Sports Centre,www.friendshipsportscentre.nl,Friendship Sports Centre,Beemsterstraat 652,1027ED,Amsterdam,Noord,ja,34152839.0,,4.95984695,52.40025203,Adapted Sports,N,1,physical sports,others,All Sports,6,2
Aangepast Sporten,Only Friends,www.onlyfriends.nl,Sportpark De Weeren,Beemsterstraat 652,1027ED,Amsterdam,Noord,ja,50538063.0,ja,4.95984695,52.40025203,Adapted Sports,N,1,physical sports,others,All Sports,6,2
Aangepast Sporten,PWA Manege | Vereniging Paardrijden Gehandicapten,www.pwamanege.nl,Prins Willem-Alexander manege,Loosdrechtdreef 9,1108AZ,Amsterdam,Zuidoost,ja,40533448.0,,4.99323066,52.31425676,Adapted Sports,T,1,physical sports,others,All Sports,6,1
Aangepast Sporten,Terminators,www.amsterdamterminators.nl,Reade sporthal,Overtoom 283,1054HW,Amsterdam,West,ja,40539513.0,,4.86684929,52.36037903,Adapted Sports,E,1,physical sports,others,All Sports,6,1
Aangepast Sporten,Stichting Prisma,www.stichtingprisma.nl,Diverse locaties,Zwanenburgwal 206,1011JH,Amsterdam,Centrum,ja,41217265.0,,4.89876465,52.3683613,Adapted Sports,A,1,physical sports,others,All Sports,6,1
Aerobics,Spark United,www.sparkunited.nl/gebruikers/spark-united-buurtsportvereniging,Sportpark De Eendracht,Bok de Korverweg 20,1067HR,Amsterdam,Nieuw-West,,55541542.0,,4.78522141,52.37924265,Aerobics,F,1,physical sports,gym sports,All Sports,3,2
Aerobics,Ontspanningsvereniging Slotervaart (OVS),www.ovs-slotervaart.nl,Huis van de Wijk Het Anker,Jacques Veltmanstraat 427,1065DC,Amsterdam,Nieuw-West,,40533777.0,,4.83308527,52.35325129,Aerobics,F,1,physical sports,gym sports,All Sports,3,2
Aerobics,De Bonte Kraai,www.buurthuizenzuidoost.nl,Buurthuis De Bonte Kraaij,Kraaiennest 68,1104CD,Amsterdam,Zuidoost,,,,4.98006344,52.31724105,Aerobics,T,1,physical sports,gym sports,All Sports,3,1
Aikido,Takemusu Aikido,www.takemusuaikido.nl,Gymzaal Adelaarsweg 113,Adelaarsweg 113,1021BZ,Amsterdam,Noord,,34311332.0,,4.92026769,52.38860742,Aikido,N,1,physical sports,combat sports and martial arts,All Sports,24,2
Aikido,Aikidojo ,www.aikidojo.nl,ABOV,Amstelkade 13,1078AB,Amsterdam,Oost,,55532675.0,,4.90750247,52.34921721,Aikido,M,1,physical sports,combat sports and martial arts,All Sports,24,4
Aikido,Culturele Aikido Stichting Amsterdam (CASA),www.aikido-info.nl,ASV Gebouw,Bilderdijkpark 10,1052SB,Amsterdam,West,,41210217.0,,4.86887575,52.37164057,Aikido,E,1,physical sports,combat sports and martial arts,All Sports,24,7
Aikido,Tenchi Ryu,www.tenchiryu.nl,Sportzaal Borgerstraat 109,Borgerstraat 109,1053PE,Amsterdam,West,,34367624.0,,4.86575665,52.36466138,Aikido,E,1,physical sports,combat sports and martial arts,All Sports,24,7
Aikido,Aikidoschool Amsterdam,www.aikidoschoolamsterdam.nl,Sportzaal Borgerstraat 109,Borgerstraat 109,1053PE,Amsterdam,West,,34367624.0,ja,4.86575665,52.36466138,Aikido,E,1,physical sports,combat sports and martial arts,All Sports,24,7
Aikido,Aikido Centrum Amsterdam,wilkovriesman.blogspot.com,Sporthal Centrum voor vrije tijd,Ed Pelsterpark 8,1087EJ,Amsterdam,Oost,,34145187.0,,4.99617033,52.35682337,Aikido,M,1,physical sports,combat sports and martial arts,All Sports,24,4
