factor,question
Height, Are you tall or short?
Endurance, Are you more like a turtle or more like a rabbit? 
Teamwork,"  Are you a lone wolf, or do you like to work with the pack?"
Agility, Do you move more like a cat or a sloth?
Communication, Are you quiet like a mouse or more like a chatterbox?
Aggressiveness," If you were a chili, how spicy would you be?"
Power, Are you more like a rhino or a kitten?
Pain tolerance, How loud did you scream when you got the vaccine?
Budget, Is your budget like yoga pants or more like sweatpants? (tight / loose)
Flexibility, Can you easily touch your toes?
Hand-Eye Coordination, Do you catch more balls than you drop?
